기관명,차량번호,차량모델,모델연도,주행거리,예정가,낙찰금액,입찰건수,차량설명(특이사항),경매일시,보관소,상세URL
[회원사][회원사 공개매각][회원사],XXX9297,인피니티 QX60 하이브리드 (휘발유+전기),2014,"100,026","9,900,000","9,901,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14034&p_Code=1&p_CarNo=XXX9297&window=ok
[회원사][회원사 공개매각][회원사],XXX4050,미니쿠퍼 컨트리맨 D (경유),2012,"180,437","3,300,000","3,400,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14065&p_Code=1&p_CarNo=XXX4050&window=ok
[회원사][회원사 공개매각][회원사],XXX1904,싼타페 CM 2WD(2.0 e-VGT) MLX 스마트팩 (경유),2011,"121,991","5,200,000","5,350,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14112&p_Code=1&p_CarNo=XXX1904&window=ok
[관공서공매(세무)][서울특별시][구로구청],02로7757,SM6 (휘발유),2017,"176,379","3,500,000","3,709,000",4,최초등록일(2017-06-14) 차량내 소화기 없음(낙찰자 설치 의무있음).제작년도:2017년/전면유리 미세돌자국있음,2025-12-03 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMSW172025A1918&p_Code=1&p_CarNo=02로7757&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX4803,BMWX5xDrive30d,2022,,,"73,160,000",8,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1789&p_Code=1&p_CarNo=XXXX4803&window=ok
[금융기관][KB국민카드][KB국민카드],XXXX6075,렉스턴스포츠 NOBLESSE 2WD,2022,,,"22,700,000",8,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A116&p_Code=1&p_CarNo=XXXX6075&window=ok
[금융기관][메르세데스벤츠모빌리티코리아(주)][메르세데스벤츠모빌리티코리아(주)],XXXX7265,Mercedes-BenzE300e4MATIC (휘발유+전기),2022,"37,114","45,600,000","45,700,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBZ052025A1604&p_Code=1&p_CarNo=XXXX7265&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX6733,G80 (휘발유),2021,"64,224","27,000,000","33,370,000",39,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 광주보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1800&p_Code=1&p_CarNo=XXXX6733&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX5042,BMW740LixDriveMSportPackage,2020,,,"36,899,000",3,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1737&p_Code=1&p_CarNo=XXXX5042&window=ok
[검찰청/경찰청][압수(경찰청)][경기 수원장안경찰서(압수)],33다0987,SM5 (LPG),2016,"63,816","2,500,000","4,511,000",36,"제작연도(2015),최초 등록일(2015-09-24),검사 유효기간(2025-09-23),검사 기간 경과 낙찰시 낙찰자 책임하에 자동차 검사 요망 (필요시 수리후 검사 진행 해야함/낙찰자 부담 /클레임 불가),메뉴얼 있음,차량키 2개",2025-12-03 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=6&p_NotNo=GMPZ152025A1&p_Code=1&p_CarNo=33다0987&window=ok
[회원사][회원사 공개매각][회원사],XXX5229,뉴 MKS 3.7 FWD,2015,,,"3,820,000",2,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14104&p_Code=1&p_CarNo=XXX5229&window=ok
[금융기관][KB국민카드][KB국민카드],XXXX5404,QM6 LPi,2022,,,"19,391,000",24,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A112&p_Code=1&p_CarNo=XXXX5404&window=ok
[금융기관][KB국민카드][KB국민카드],XXXX8096,렉스턴스포츠칸 EXPEDITION 4WD,2023,,,"21,650,000",13,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A118&p_Code=1&p_CarNo=XXXX8096&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX9231,MINICooperSCountrymanALL4 (휘발유),2022,"24,821","20,000,000","34,990,000",16,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1795&p_Code=1&p_CarNo=XXXX9231&window=ok
[금융기관][KB국민카드][KB국민카드],XXXX1822,렉스턴스포츠 PRESTIGE 2WD (경유),2021,"44,136","14,000,000","17,899,000",12,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경남보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A124&p_Code=1&p_CarNo=XXXX1822&window=ok
[관공서공매(세무)][경기도][가평군청],60소3089,LEGEND (휘발유),2008,0,"2,500,000",,0,"※ 미점검 차량의 경우 차량의 기능과 성능의 정상작동 여부를 가평군에서는 보장하지 않으며, 낙찰자는 반드시 미점검 차량을 직접방문후 성능과 모든 기능을 직접 확인후 입찰하여 주시기 바랍니다. ※※ 미점검 차량 ※ 2007.08.08 최초등록 2025.10월부터 공매차량 보관소에 미운행 보관중",2025-12-03 (14:00),가평군차량보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK502025A2260&p_Code=6&p_CarNo=60소3089&window=ok
[관공서공매(세무)][전라북도][군산시청],85부7083,포터Ⅱ(PORTERⅡ) (경유),2015,"230,948","800,000","4,360,000",35,"차량내 소화기 없음(낙찰자 설치 의무있음).최초등록일:2014-12-18 제작연도:2014년리모콘(스마트키)1개와 매뉴얼없음원부의 마지막주행거리22,038Km(실주행거리확인요망)원부의 자동차검사종료일(2016-12-17)앞유리파손. 핸들좌측돌릴때묵직함.엔진,미션등 하자클레임 불가함. 부식있음.* 중형상용차 특성상 내방하여 확인후 입찰 바랍니다.낙찰시 낙찰자 책임하에 실내쓰레기 수거해야함.(실내 곰팡이 있음. 점검자가 놓칠수있으니 실차확인하여 정확히 파악후 입찰요함.잔기스 및 흡집이 있을수있음. 확인하고입찰요함. 클레임불가",2025-12-03 (14:00),오토마트 전북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMJB132025A2314&p_Code=4&p_CarNo=85부7083&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX2613,BMW620d (경유),2023,"80,085","40,000,000","47,910,000",14,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1797&p_Code=1&p_CarNo=XXXX2613&window=ok
[회원사][회원사 공개매각][회원사],XXX2208,닛산 쥬크 1.6 SV F15 (휘발유),2017,"86,793","6,100,000","6,101,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A13796&p_Code=1&p_CarNo=XXX2208&window=ok
[관공서공매(세무)][전라북도][군산시청],20부7086,투싼(TUCSON) (경유),2015,"102,112","1,500,000","7,560,000",130,"차량내 소화기 없음(낙찰자 설치 의무있음).최초등록일:2014-12-30 제작연도:2014년리모콘(스마트키)1개와 매뉴얼없음원부의 마지막주행거리100,952Km(실주행거리확인요망)엔진,미션등 하자클레임 불가함.앞유리파손. 운행가능하나 배터리가 극히 불량하여 교체 or 점프 후 시동해야함.점검자가 놓칠수있으니 실차확인하여 정확히 파악후 입찰요함.잔기스 및 흡집이 있을수있음. 확인하고입찰요함. 클레임불가",2025-12-03 (14:00),오토마트 전북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMJB132025A2314&p_Code=3&p_CarNo=20부7086&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX9418,MINICooperCountryman,2022,,,"22,120,000",4,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1780&p_Code=1&p_CarNo=XXXX9418&window=ok
[금융기관][메르세데스벤츠모빌리티코리아(주)][메르세데스벤츠모빌리티코리아(주)],XXX0344,Mercedes-BenzEQE350+ (전기),2024,"19,862","53,300,000","56,100,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 대구보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBZ052025A1594&p_Code=1&p_CarNo=XXX0344&window=ok
[금융기관][메르세데스-벤츠 파이낸셜 서비스 코리아(주)][메르세데스-벤츠 파이낸셜 서비스 코리아(주)],XXXX9533,CLA 250 4MATIC (23MY) (휘발유),2023,"23,737","32,000,000","37,200,000",3,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBZ012025A736&p_Code=1&p_CarNo=XXXX9533&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX9097,BMW520i (휘발유),2023,"65,204","33,000,000","38,389,000",15,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1786&p_Code=1&p_CarNo=XXXX9097&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX4946,BMWGranTurismo30dxDrive (경유),2015,"176,626","7,000,000","8,600,000",4,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1791&p_Code=1&p_CarNo=XXXX4946&window=ok
[회원사][회원사 공개매각][회원사],XXX7534,뉴 SM5(신형) LE (휘발유),2010,"97,039","1,400,000","1,410,000",2,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A13669&p_Code=1&p_CarNo=XXX7534&window=ok
[금융기관][KB국민카드][KB국민카드],XXX4490,렉스턴스포츠 KHAN PRESTIGE 2WD,2021,,,"14,789,000",1,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A117&p_Code=1&p_CarNo=XXX4490&window=ok
[장기미반환][서울특별시(미반환)][마포구청(마포구시설관리공단)],73고7284,그랜드스타렉스 (경유),2011,"211,806","3,300,000",,0,"조수석 뒷문 밑부분 파손으로 테이프가 붙어있음, 주행거리는 원부상 거리임.",2025-12-03 (14:00),마포구 견인차량보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=5&p_NotNo=GMSM142025A1882&p_Code=1&p_CarNo=73고7284&window=ok
[회원사][회원사 공개매각][회원사],XXX4414,i40 2.0 GDi 프리미엄,2012,,,"4,399,000",1,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14019&p_Code=1&p_CarNo=XXX4414&window=ok
[금융기관][메르세데스벤츠모빌리티코리아(주)][메르세데스벤츠모빌리티코리아(주)],XXXX8666,Mercedes-BenzE220d4MATIC (경유+전기),2022,"53,925","36,200,000","36,260,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBZ052025A1595&p_Code=1&p_CarNo=XXXX8666&window=ok
[금융기관][KB국민카드][KB국민카드],XXXX7695,토레스 T7 AWD,2025,,,"27,190,000",9,,2025-12-03 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A122&p_Code=1&p_CarNo=XXXX7695&window=ok
[회원사][회원사 공개매각][회원사],XXX1388,BMW 528i (휘발유),2009,"108,725","2,500,000","2,599,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A13825&p_Code=1&p_CarNo=XXX1388&window=ok
[회원사][회원사 공개매각][회원사],XXX5451,그랜드 카니발 11인승 (경유),2013,"198,837","3,500,000","3,510,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14086&p_Code=1&p_CarNo=XXX5451&window=ok
[회원사][회원사 공개매각][회원사],XXX9197,이스케이프 (휘발유),2015,"153,571","5,100,000","5,650,000",2,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-03 (14:00),오토마트 경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14093&p_Code=1&p_CarNo=XXX9197&window=ok
[금융기관][하나캐피탈][하나캐피탈],XXX6475,CHEVROLET BOLT EUV,2023,,,"19,700,000",65,,2025-12-03 (12:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMHN042025A871&p_Code=1&p_CarNo=XXX6475&window=ok
[금융기관][하나캐피탈][하나캐피탈(미래)],XXXX5571,쏘렌토하이브리드 7인승 1.6 시그니처 그래비티 2WD,2021,,,"29,650,000",38,,2025-12-03 (12:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMHN052025A875&p_Code=1&p_CarNo=XXXX5571&window=ok
[금융기관][하나캐피탈][하나캐피탈],XXX4729,BMW520i,2018,,,"16,770,000",28,,2025-12-03 (12:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMHN042025A867&p_Code=1&p_CarNo=XXX4729&window=ok
