기관명,차량번호,차량모델,모델연도,주행거리,예정가,낙찰금액,입찰건수,차량설명(특이사항),경매일시,보관소,상세URL
[금융기관][KB국민카드][KB국민카드],XXXX5769,티볼리에어 A7,2024,,,"17,710,000",9,,2025-12-08 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A125&p_Code=1&p_CarNo=XXXX5769&window=ok
[검찰청/경찰청][압수(경찰청)][충북 청주상당경찰서(압수)],32무3923,그랜저HG (휘발유),2012,"114,897","2,500,000","3,666,000",3,"제작연도(2012),최초 등록일(2012-10-16),검사 유효기간(2024-11-20),검사 기간 경과 낙찰시 낙찰자 책임하에 자동차 검사 요망 (필요시 수리후 검사 진행 해야함/낙찰자 부담 /클레임 불가),차량키 2개(1개 밧데리교체요)",2025-12-08 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=6&p_NotNo=GMPT302025A4&p_Code=1&p_CarNo=32무3923&window=ok
[관공서공매(세무)][경기도][평택시 송탄출장소],17조1527,Mercedes-Maybach S600 (휘발유),2015,"268,682","23,400,000",,0,"제작연도(2015),최초 등록일(2015-06-02),검사 유효기간(2025-07-20),검사 기간 경과 낙찰시 낙찰자 책임하에 자동차 검사 요망 (필요시 수리후 검사 진행 해야함/낙찰자 부담 /클레임 불가),차량내 소화기 없음(낙찰자 설치 의무 있음).메뉴얼 없음,차량키 1개,배터리 신품으로 교환함,낙찰시 운행 제한으로 견인 요망(시동 꺼짐 현상)",2025-12-08 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK082025A103&p_Code=1&p_CarNo=17조1527&window=ok
[관공서공매(세무)][경기도][평택시 안중출장소],04저4802,싼타페 (경유),2006,"211,737","480,000","1,172,000",11,"1회, 2회 모두 낙찰포기로 인한 재공고 차량으로 입찰에 유의바람.제작연도(2006),최초 등록일(2006-02-21),검사 유효기간(2026-02-20),차량내 소화기 없음(낙찰자 설치 의무 있음).구조 변경1건(배기가스 발산 방지 장치),메뉴얼 없음,차량키 1개",2025-12-08 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK092025A70&p_Code=1&p_CarNo=04저4802&window=ok
[관공서공매(세무)][경기도][평택시 안중출장소],267나6181,에쿠스(EQUUS) (휘발유),2014,"292,410","1,800,000","3,155,000",17,"제작연도(2013),최초 등록일(2023-10-17),검사 유효기간(2025-10-16),차량내 소화기 없음(낙찰자 설치 의무 있음).렌트 이력 있음,메뉴얼 없음,차량키 1개(고정 불량)",2025-12-08 (14:00),오토마트 충북보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK092025A70&p_Code=2&p_CarNo=267나6181&window=ok
[관공서공매(세무)][경기도][용인시 기흥구청],65도5975,SM3 (휘발유),2012,"138,863","1,000,000","1,260,000",2,"최초등록일(2012-08-20) 원부상 주행거리( 127,669-) 자동차검사만료일(2024-08-19)2012년 제작*공매차량 특성상 점검내용이 상이 하더라도 책임지지 않습니다. 반드시 차량 상태를 직접 확인후 입찰바람.",2025-12-08 (14:00),오토마트 경기동부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK402025A909&p_Code=1&p_CarNo=65도5975&window=ok
[관공서공매(세무)][경기도][용인시 기흥구청],373어1400,카니발 하이리무진 (휘발유),2018,"244,408","9,000,000","10,999,000",2,"최초등록일(2017-08-02), 차량내 소화기 없음(낙찰자 설치 의무있음). 영업용이력(1건)있음, 모니터 없음 관련기능 확인 불가, 실차 확인 후 입찰 요함",2025-12-08 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK402025A909&p_Code=2&p_CarNo=373어1400&window=ok
[관공서공매(세무)][경기도][용인시 기흥구청],01버0431,캡티바 2.0 디젤 (경유),2016,"194,277","2,000,000","3,820,000",23,최초등록일(2016-06-17) 차량내 소화기 없음(낙찰자 설치 의무있음). 제작년도:2016년,2025-12-08 (14:00),오토마트 경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKK402025A909&p_Code=3&p_CarNo=01버0431&window=ok
[관공서공매(세무)][경상남도][합천군청],82루1382,포터Ⅱ(PORTERⅡ) (경유),2020,"210,061","8,000,000","10,190,000",9,"최초등록일(2020-01-29) 차량내 소화기 없음(낙찰자 설치 의무있음).실차확인요망사고유무확인요망낙찰시견인요망/차량 내부 오염 있음, 확인요망",2025-12-08 (14:00),오토마트 경남보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=3&p_NotNo=GMKN082025A1634&p_Code=1&p_CarNo=82루1382&window=ok
[회원사][회원사 공개매각][회원사],XXX8646,코란도 스포츠 CX7 4WD 매니아 (경유),2013,"137,127","3,100,000","3,100,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-08 (14:00),오토마트 경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A13891&p_Code=1&p_CarNo=XXX8646&window=ok
[금융기관][KB국민카드][KB국민카드],XXXX8378,렉스턴스포츠칸쿨맨 PRESTIGE 4WD,2024,,,"27,250,000",9,,2025-12-08 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMKB002025A120&p_Code=1&p_CarNo=XXXX8378&window=ok
[회원사][회원사 공개매각][회원사],XXX9297,인피니티 QX60 하이브리드 (휘발유+전기),2014,"100,026","9,900,000","9,901,000",1,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-08 (14:00),오토마트 경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMAM012025A14034&p_Code=1&p_CarNo=XXX9297&window=ok
[금융기관][토요타파이낸셜][토요타파이낸셜],XXXX2086,렉서스NX300h,2021,,,"40,880,000",1,,2025-12-08 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMTY012025A213&p_Code=1&p_CarNo=XXXX2086&window=ok
[검찰청/경찰청][압수(경찰청)][경기 일산서부경찰서(압수)],01가8565,쏘나타 (휘발유),2005,"311,420","500,000","1,051,000",7,최초등록일(2004-09-15) 차량내 소화기 없음(낙찰자 설치 의무있음)./차량부식있음/각종 장치류 작동 여부는 입찰자가 반드시 현물을 직접확인후 입찰하시기 바랍니다.(클레임 불가),2025-12-08 (14:00),오토마트 경기북부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=6&p_NotNo=GMPZ552025A1&p_Code=1&p_CarNo=01가8565&window=ok
[검찰청/경찰청][압수(경찰청)][경기 일산서부경찰서(압수)],31모8456,K5 (휘발유),2011,"175,803","1,500,000","2,899,000",20,최초등록일(2011-01-26) 차량내 소화기 없음(낙찰자 설치 의무있음). 자동차검사만료일(2025-07-05)각종 장치류 작동 여부는 입찰자가 반드시 현물을 직접확인후 입찰하시기 바랍니다.(클레임 불가)/,2025-12-08 (14:00),오토마트 경기북부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=6&p_NotNo=GMPZ552025A1&p_Code=2&p_CarNo=31모8456&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX3544,BMW520i (휘발유),2023,"24,397","40,000,000","44,026,000",19,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-08 (14:00),오토마트 경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1806&p_Code=1&p_CarNo=XXXX3544&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX2651,BMWX6xDrive40i (휘발유),2022,"59,419","55,000,000","65,660,000",10,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-08 (14:00),오토마트 인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1802&p_Code=1&p_CarNo=XXXX2651&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX9113,BMW740dxDrive (경유+전기),2024,"35,419","95,000,000","106,799,000",16,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-08 (14:00),오토마트 대구보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1810&p_Code=1&p_CarNo=XXXX9113&window=ok
[금융기관][BMW파이낸셜][BMW파이낸셜],XXXX9084,BMW745eiPerformance (휘발유),2021,0,"10,000,000","25,170,000",9,"차량 사진을 클릭하면 확대된 사진으로 조회할 수 있으며, [전체사진보기] 버튼이 있는 경우는 추가된 사진을 조회할 수 있습니다.[차량점검서보기] 버튼이 있는 경우 차량점검서를 확인할 수 있습니다. [차량점검서보기]가 없는 경우는 점검서가 제공되지 않습니다.차량확인등으로 인해 소모된 연료에 대해서는 낙찰자 부담하에 연료를 보충하여 인수해야 합니다.지역번호 또는 번호판이 없는 경우 신규번호판 발급여부를 확인하시기 바랍니다. (일부 관공서는 무조건 신규발급 - 공고문 확인)세금계산서(계산서) 발급 여부는 차량설명(특이사항) 참조바라며, 체납자(소유자)의 사업자 등록여부는 확인이 불가합니다.",2025-12-08 (14:00),오토마트 경기동부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMBM012025A1793&p_Code=1&p_CarNo=XXXX9084&window=ok
[금융기관][토요타파이낸셜][토요타파이낸셜],XXXX4059,렉서스ES300h,2023,,,"32,889,000",1,,2025-12-08 (14:00),,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=0&bidType=1&p_NotNo=GMTY012025A215&p_Code=1&p_CarNo=XXXX4059&window=ok
